,SINR,RSRP,RSRQ,Power
388,3.0,-89,-7,-89
389,-3.0,-92,-7,-92
390,-0.8940724,-93,-5,-93
391,-6.6256584,-97,-7,-97
392,-10.0729586,-100,-7,-100
393,-4.0347713,-95,-7,-95
394,300.0,-91,-6,-91
395,300.0,-95,-6,-95
396,300.0,-99,-6,-99
397,300.0,-100,-6,-100
398,300.0,-100,-6,-100
399,-6.6891105,-100,-7,-100
400,-2.6471053,-97,-6,-97
401,-15.4092681,-108,-7,-108
402,-0.9882749,-96,-7,-96
403,-9.2078258,-100,-6,-100
404,0.6443915,-93,-6,-93
405,-17.6256584,-108,-7,-108
406,-2.9031062,-95,-7,-95
407,-11.0,-103,-7,-103
408,11.0,-92,-7,-92
409,-14.1509729,-102,-6,-102
410,1.523946,-90,-7,-90
411,-22.2892701,-110,-7,-110
412,-2.3063847,-92,-7,-92
413,-5.0347713,-104,-6,-104
414,-9.7859229,-108,-20,-108
415,-0.4092681,-101,-8,-101
416,-6.3063115,-105,-19,-105
417,-3.0347713,-102,-6,-102
418,-10.4092681,-108,-20,-108
419,-1.4362727,-101,-8,-101
420,-6.9969346,-105,-19,-105
421,1.1635836,-102,-6,-102
422,-7.8006176,-108,-20,-108
423,-21.4362727,-121,-20,-121
424,-4.0167076,-105,-19,-105
425,-7.931894,-104,-6,-104
426,3.5767085,-97,-7,-97
427,-15.45834,-111,-8,-111
428,-7.931894,-104,-7,-104
429,-13.787268,-107,-6,-107
430,-3.2980529,-98,-8,-98
431,-22.9431532,-116,-8,-116
432,2.4243222,-95,-8,-95
433,-2.884524,-109,-6,-109
434,-12.4473465,-117,-20,-117
435,-11.3828637,-116,-8,-116
436,0.6709526,-107,-19,-107
437,-2.884524,-109,-6,-109
438,-12.4473465,-117,-20,-117
439,-11.3828637,-116,-8,-116
440,0.6709526,-107,-19,-107
441,3.9183718,-104,-6,-104
442,-12.2261812,-115,-19,-115
443,-21.4477982,-124,-20,-124
444,-5.3720046,-109,-18,-109
445,2.9183718,-105,-6,-105
446,-11.4943357,-115,-19,-115
447,-20.7554288,-124,-20,-124
448,-4.4633486,-109,-18,-109
449,-0.0816282,-108,-6,-108
450,-9.5993943,-115,-19,-115
451,-18.9969346,-124,-20,-124
452,-1.8801025,-109,-18,-109
453,-0.8364164,-108,-6,-108
454,-2.5169454,-109,-18,-109
455,-20.4092681,-125,-20,-125
456,-6.5870452,-112,-20,-112
457,-4.8364164,-112,-7,-112
458,-0.1177901,-109,-18,-109
459,-19.015453,-125,-20,-125
460,-4.8364164,-112,-20,-112
461,300.0,-109,-7,-109
462,-14.6148912,-111,-7,-111
463,0.510754,-99,-7,-99
464,-17.6891105,-114,-7,-114
465,-1.3930246,-100,-7,-100
466,18.8131065,-88,-6,-88
467,-32.0540013,-120,-10,-120
468,-26.045926,-114,-7,-114
469,-20.0136278,-108,-19,-108
470,19.8131065,-87,-6,-87
471,-33.0429495,-120,-10,-120
472,-27.0365199,-114,-7,-114
473,-21.0108284,-108,-19,-108
474,21.0129755,-86,-6,-86
475,-46.0341506,-132,-20,-132
476,-28.0274244,-114,-7,-114
477,-22.0069866,-108,-19,-108
478,18.9618569,-87,-6,-87
479,-45.0546738,-132,-20,-132
480,-41.0544688,-128,-20,-128
481,-19.0004823,-106,-19,-106
482,16.9618569,-89,-6,-89
483,-43.086336,-132,-20,-132
484,-39.0860134,-128,-20,-128
485,-17.0007643,-106,-19,-106
486,13.9321251,-89,-6,-89
487,-33.1700687,-122,-17,-122
488,-39.1716357,-128,-20,-128
489,-14.0027225,-103,-19,-103
490,18.9186894,-84,-6,-84
491,-38.0546738,-122,-17,-122
492,-41.0550128,-125,-19,-125
493,-19.0010332,-103,-19,-103
494,21.9672542,-81,-6,-81
495,-51.0274879,-132,-20,-132
496,-44.0273503,-125,-19,-125
497,-22.0002074,-103,-19,-103
498,9.9847748,-92,-6,-92
499,-40.4149185,-132,-20,-132
500,-36.4143216,-128,-20,-128
501,-10.0015249,-102,-19,-102
502,12.9847748,-89,-6,-89
